Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11844"}'
b'{"is_cold": false, "events": 3, "idx": "11845"}'
b'{"is_cold": false, "events": -1, "idx": "11846"}'
b'{"is_cold": false, "events": -1, "idx": "11847"}'
b'{"is_cold": false, "events": 5, "idx": "11848"}'
b'{"is_cold": false, "events": -1, "idx": "11849"}'
b'{"is_cold": false, "events": -1, "idx": "11850"}'
b'{"is_cold": false, "events": -1, "idx": "11851"}'
b'{"is_cold": false, "events": -1, "idx": "11852"}'
b'{"is_cold": false, "events": 3, "idx": "11853"}'
b'{"is_cold": false, "events": -1, "idx": "11854"}'
b'{"is_cold": false, "events": -1, "idx": "11855"}'
b'{"is_cold": false, "events": 3, "idx": "11856"}'
b'{"is_cold": false, "events": -1, "idx": "11857"}'
b'{"is_cold": false, "events": -1, "idx": "11858"}'
b'{"is_cold": false, "events": 3, "idx": "11859"}'
b'{"is_cold": false, "events": -1, "idx": "11860"}'
b'{"is_cold": false, "events": -1, "idx": "11861"}'
b'{"is_cold": false, "events": 3, "idx": "11862"}'
b'{"is_cold": false, "events": -1, "idx": "11863"}'
b'{"is_cold": false, "events": -1, "idx": "11864"}'
b'{"is_cold": false, "events": 4, "idx": "11865"}'
b'{"is_cold": false, "events": -1, "idx": "11866"}'
b'{"is_cold": false, "events": -1, "idx": "11867"}'
b'{"is_cold": false, "events": -1, "idx": "11868"}'
b'{"is_cold": false, "events": 3, "idx": "11869"}'
b'{"is_cold": false, "events": -1, "idx": "11870"}'
b'{"is_cold": false, "events": -1, "idx": "11871"}'
b'{"is_cold": false, "events": 7, "idx": "11872"}'
b'{"is_cold": false, "events": -1, "idx": "11873"}'
b'{"is_cold": false, "events": -1, "idx": "11874"}'
b'{"is_cold": false, "events": -1, "idx": "11875"}'
b'{"is_cold": false, "events": -1, "idx": "11876"}'
b'{"is_cold": false, "events": -1, "idx": "11877"}'
b'{"is_cold": false, "events": -1, "idx": "11878"}'
b'{"is_cold": false, "events": -1, "idx": "11880"}'
b'{"is_cold": false, "events": 6, "idx": "11879"}'
b'{"is_cold": false, "events": -1, "idx": "11881"}'
b'{"is_cold": false, "events": -1, "idx": "11882"}'
b'{"is_cold": false, "events": -1, "idx": "11883"}'
b'{"is_cold": false, "events": -1, "idx": "11884"}'
b'{"is_cold": false, "events": 4, "idx": "11885"}'
b'{"is_cold": false, "events": -1, "idx": "11886"}'
b'{"is_cold": false, "events": -1, "idx": "11887"}'
b'{"is_cold": false, "events": -1, "idx": "11888"}'
b'{"is_cold": false, "events": 3, "idx": "11889"}'
b'{"is_cold": false, "events": -1, "idx": "11890"}'
b'{"is_cold": false, "events": -1, "idx": "11891"}'
b'{"is_cold": false, "events": 3, "idx": "11892"}'
b'{"is_cold": false, "events": -1, "idx": "11893"}'
b'{"is_cold": false, "events": -1, "idx": "11894"}'
b'{"is_cold": false, "events": 3, "idx": "11895"}'
b'{"is_cold": false, "events": -1, "idx": "11896"}'
b'{"is_cold": false, "events": -1, "idx": "11897"}'
b'{"is_cold": false, "events": 1, "idx": "11898"}'
b'{"is_cold": false, "events": 6, "idx": "11899"}'
b'{"is_cold": false, "events": -1, "idx": "11900"}'
b'{"is_cold": false, "events": -1, "idx": "11901"}'
b'{"is_cold": false, "events": -1, "idx": "11902"}'
b'{"is_cold": false, "events": -1, "idx": "11903"}'
b'{"is_cold": false, "events": -1, "idx": "11904"}'
b'{"is_cold": false, "events": 6, "idx": "11905"}'
